Symbol,Date,Open,High,Low,Close,Adj Close,Volume
W,9/7/2017,73.379997,74.360001,72.760002,73.800003,73.800003,1319900
W,9/8/2017,74.970001,77.360001,74.330002,77.230003,77.230003,2053400
W,9/11/2017,76.300003,78.309998,76.139999,77.080002,77.080002,2118000
W,9/12/2017,77.540001,82.75,77.300003,82.379997,82.379997,3727700
W,9/13/2017,82.260002,83.360001,79.894997,80.970001,80.970001,2733800
W,9/14/2017,80.489998,80.849998,79.309998,80.230003,80.230003,1397700
W,9/15/2017,80,80.160004,78.480003,79.760002,79.760002,1637300
W,9/18/2017,79.669998,80.970001,79,80.290001,80.290001,1024200
W,9/19/2017,80.330002,80.781998,79.120003,79.919998,79.919998,838000
W,9/20/2017,79.589996,84.190002,79.589996,83.769997,83.769997,2320700
W,9/21/2017,83.889999,83.889999,81.040001,81.75,81.75,1305200
W,9/22/2017,81.410004,81.410004,74.019997,74.589996,74.589996,4132000
W,9/25/2017,74.330002,75.129997,70.629997,71.230003,71.230003,1849300
W,9/26/2017,71.510002,72.735001,68.220001,68.440002,68.440002,2003600
W,9/27/2017,69.169998,71.199997,69.023003,70.269997,70.269997,1640500
W,9/28/2017,69.160004,71.379997,68.599998,70.470001,70.470001,1575600
W,9/29/2017,70.199997,70.349998,66.940002,67.400002,67.400002,1471400
W,10/2/2017,67.330002,69.339996,67.110001,68.459999,68.459999,1305600
W,10/3/2017,70.07,72.970001,70.059998,72.800003,72.800003,1969900
W,10/4/2017,72.099998,74.5,71.589996,73.029999,73.029999,1374300
W,10/5/2017,73,73.5,70.849998,71.169998,71.169998,1601800
W,10/6/2017,70.68,71.669998,68.059998,68.989998,68.989998,1588000
W,10/9/2017,68.839996,69.268997,68.160004,68.279999,68.279999,805000
W,10/10/2017,69.269997,69.269997,65.110001,65.949997,65.949997,2048600
W,10/11/2017,66.279999,66.709999,65.290001,66.220001,66.220001,1719900
W,10/12/2017,65.879997,69.410004,65.860001,69.18,69.18,1587000
W,10/13/2017,69.639999,72.269997,69.474998,71.419998,71.419998,1919500
W,10/16/2017,71.370003,71.449997,67.748001,69.730003,69.730003,2346100
W,10/17/2017,69.550003,69.550003,67.459999,67.760002,67.760002,1736100
W,10/18/2017,65.779999,68.580002,64.809998,67.129997,67.129997,3130500
W,10/19/2017,67.349998,68.519997,66.620003,67.150002,67.150002,1527700
W,10/20/2017,67.519997,68.709999,67.080002,68.040001,68.040001,1683100
W,10/23/2017,67.830002,67.870003,65.209999,67.099998,67.099998,3014400
W,10/24/2017,67.389999,67.389999,65.800003,66.449997,66.449997,1068400
W,10/25/2017,66.760002,66.822998,64.410004,64.519997,64.519997,1305900
W,10/26/2017,64.629997,64.830002,63.599998,63.830002,63.830002,1411300
W,10/27/2017,64.599998,70.059998,64.440002,67.550003,67.550003,3117700
W,10/30/2017,67.550003,71.760002,67.529999,69.660004,69.660004,2212100
W,10/31/2017,69.489998,70,68.690002,69.900002,69.900002,1643600
W,11/1/2017,70.599998,74.5,70.18,74.410004,74.410004,4635500
W,11/2/2017,59.240002,63.395,56.540001,62.84,62.84,14186600
W,11/3/2017,62.505001,69.440002,61.689999,67.5,67.5,6132900
W,11/6/2017,67,67.404999,64.019997,64.050003,64.050003,2455200
W,11/7/2017,64.209999,64.639999,59.700001,60.259998,60.259998,3223300
W,11/8/2017,59.330002,59.389999,56.02,57.849998,57.849998,2845600
W,11/9/2017,57.560001,58.25,55.330002,57.970001,57.970001,1840600
W,11/10/2017,57.889999,61.68,57.889999,61.57,61.57,2192600
W,11/13/2017,61.009998,62.700001,60.057999,62.540001,62.540001,1865600
W,11/14/2017,62.549999,65.120003,62.25,64.900002,64.900002,1754500
W,11/15/2017,64.419998,64.565002,62.584999,63.450001,63.450001,1348600
W,11/16/2017,63.639999,66.089996,63.639999,65.900002,65.900002,1212500
W,11/17/2017,65.82,67.589996,64.889999,66.389999,66.389999,1246900
W,11/20/2017,66.290001,67.209999,65.769997,66.68,66.68,957400
W,11/21/2017,66.809998,68.360001,66.459999,68.089996,68.089996,702300
W,11/22/2017,68.010002,68.434998,66.900002,68.25,68.25,623100
W,11/24/2017,68.190002,69.360001,68.059998,69.050003,69.050003,351300
W,11/27/2017,69.290001,69.580002,67.660004,68.760002,68.760002,890600
W,11/28/2017,68.760002,70.769997,67.839996,70.07,70.07,1599400
W,11/29/2017,71.5,72.68,67.07,67.870003,67.870003,2230000
W,11/30/2017,67.900002,71.239998,67.900002,69.989998,69.989998,2217400
W,12/1/2017,69.709999,70.790001,67.389999,70.230003,70.230003,1295500
W,12/4/2017,71.57,74.279999,70.480003,71.900002,71.900002,1898000
W,12/5/2017,71.860001,73.790001,70.690002,72.580002,72.580002,728900
W,12/6/2017,72.449997,75.739998,72.449997,73.769997,73.769997,1809400
W,12/7/2017,73.610001,75.440002,73.541,74.919998,74.919998,720200
W,12/8/2017,75.290001,76.199997,73.160004,73.949997,73.949997,1225800
W,12/11/2017,74.43,75.099998,73.919998,74.589996,74.589996,975000
W,12/12/2017,73.839996,74.309998,72.400002,72.449997,72.449997,935500
W,12/13/2017,73.040001,76.110001,72.519997,75.830002,75.830002,1076100
W,12/14/2017,75.769997,76.970001,75.200996,76.18,76.18,1035500
W,12/15/2017,76.349998,79.400002,75.650002,79.260002,79.260002,2064100
W,12/18/2017,80.169998,83.785004,79,83.080002,83.080002,2091500
W,12/19/2017,82.75,83.099998,80.919998,81.690002,81.690002,1412600
W,12/20/2017,82.370003,83.150002,81.120003,81.580002,81.580002,1925800
W,12/21/2017,81.489998,81.489998,77.279999,78.889999,78.889999,2699100
